ProductSupplierID,ProductID,ProductName,ProductCategory,SupplierID,SupplierName,SupplierProductCode,WholesaleCost,MinOrderQuantity,MaxOrderQuantity,LeadTimeDays,Status,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,Camping,1,Contoso Ltd,CON-1521,114.97,1,10000.0,8,Active,system,2026-02-23
2,1531,Summit Breeze Jacket,Camping,1,Contoso Ltd,CON-1531,108.88,5,10000.0,10,Active,system,2026-03-10
3,1541,TrekReady Hiking Boots,Camping,1,Contoso Ltd,CON-1541,108.03,25,,9,Active,system,2026-03-12
4,1551,BaseCamp Folding Table,Camping,1,Contoso Ltd,CON-1551,71.85,25,1000.0,12,Active,system,2025-12-03
5,1561,EcoFire Camping Stove,Camping,1,Contoso Ltd,CON-1561,79.9,5,,13,Active,system,2025-12-16
6,1571,CozyNights Sleeping Bag,Camping,1,Contoso Ltd,CON-1571,122.76,1,10000.0,7,Active,system,2025-11-20
7,1571,CozyNights Sleeping Bag,Camping,4,Worldwide Importers,WOR-1571,126.79,50,,19,Active,system,2026-02-17
8,1511,Alpine Explorer Tent,Camping,1,Contoso Ltd,CON-1511,319.45,25,5000.0,9,Active,system,2026-02-06
9,1522,SummitClimber Backpack,Camping,1,Contoso Ltd,CON-1522,161.55,1,5000.0,11,Active,system,2026-03-29
10,1532,TrailBlaze Hiking Pants,Camping,1,Contoso Ltd,CON-1532,64.18,1,1000.0,11,Active,system,2025-11-11
11,1542,TrailWalker Hiking Shoes,Camping,1,Contoso Ltd,CON-1542,98.4,5,10000.0,9,Active,system,2026-03-16
12,1552,TrekMaster Camping Chair,Camping,1,Contoso Ltd,CON-1552,57.02,50,,10,Active,system,2026-01-04
13,1562,PowerBurner Camping Stove,Camping,1,Contoso Ltd,CON-1562,135.02,1,,8,Active,system,2025-11-10
14,1562,PowerBurner Camping Stove,Camping,4,Worldwide Importers,WOR-1562,136.07,25,2000.0,21,Active,system,2026-02-04
15,1572,MountainDream Sleeping Bag,Camping,1,Contoso Ltd,CON-1572,223.02,50,10000.0,13,Active,system,2025-12-29
16,1512,SkyView 2-Person Tent,Camping,1,Contoso Ltd,CON-1512,216.49,10,5000.0,11,Active,system,2025-11-25
17,1523,TrailLite Daypack,Camping,1,Contoso Ltd,CON-1523,52.89,10,1000.0,11,Active,system,2026-01-09
18,1533,RainGuard Hiking Jacket,Camping,1,Contoso Ltd,CON-1533,135.73,50,10000.0,13,Active,system,2026-02-06
19,1543,TrekStar Hiking Sandals,Camping,1,Contoso Ltd,CON-1543,62.07,1,5000.0,13,Active,system,2026-02-20
20,1553,Adventure Dining Table,Camping,1,Contoso Ltd,CON-1553,110.31,10,5000.0,9,Active,system,2026-03-23
21,1563,CompactCook Camping Stove,Camping,1,Contoso Ltd,CON-1563,63.62,1,1000.0,11,Active,system,2026-03-08
22,1563,CompactCook Camping Stove,Camping,4,Worldwide Importers,WOR-1563,63.24,1,5000.0,19,Active,system,2026-02-24
23,1581,LED Headlamp - Rechargeable,Camping,1,Contoso Ltd,CON-1581,55.53,1,5000.0,12,Active,system,2025-12-02
24,2011,Coffee Maker,Kitchen,2,Proseware Inc,PRO-2011,128.11,50,,8,Active,system,2025-11-15
25,2012,Espresso Machine,Kitchen,2,Proseware Inc,PRO-2012,285.82,5,10000.0,13,Active,system,2026-03-22
26,2021,Chef Knife,Kitchen,2,Proseware Inc,PRO-2021,64.53,10,,10,Active,system,2026-03-12
27,2022,Fork Set,Kitchen,2,Proseware Inc,PRO-2022,32.35,25,5000.0,11,Active,system,2025-11-14
28,2031,Coffee Mug,Kitchen,2,Proseware Inc,PRO-2031,22.75,25,5000.0,11,Active,system,2025-11-02
29,2041,Serving Platter,Kitchen,2,Proseware Inc,PRO-2041,49.94,5,,11,Active,system,2026-03-24
30,2051,Ice Cream Bowl,Kitchen,2,Proseware Inc,PRO-2051,18.6,1,1000.0,7,Active,system,2025-12-22
31,2061,Mixing Bowl,Kitchen,2,Proseware Inc,PRO-2061,29.75,5,,10,Active,system,2026-03-15
32,2071,Baking Pan,Kitchen,2,Proseware Inc,PRO-2071,23.09,50,5000.0,10,Active,system,2026-03-04
33,2081,Food Storage Set,Kitchen,2,Proseware Inc,PRO-2081,24.64,1,,9,Active,system,2026-01-20
34,2091,Spatula,Kitchen,2,Proseware Inc,PRO-2091,8.02,10,1000.0,8,Active,system,2025-12-26
35,2101,Measuring Cup Set,Kitchen,2,Proseware Inc,PRO-2101,13.62,50,,13,Active,system,2025-11-14
36,2111,High-Speed Blender,Kitchen,2,Proseware Inc,PRO-2111,143.0,50,5000.0,7,Active,system,2025-12-11
37,2111,High-Speed Blender,Kitchen,4,Worldwide Importers,WOR-2111,164.8,10,500.0,18,Active,system,2025-12-17
38,2112,4-Slice Toaster,Kitchen,2,Proseware Inc,PRO-2112,67.04,50,5000.0,13,Active,system,2025-12-04
39,2121,Bamboo Cutting Board Set,Kitchen,2,Proseware Inc,PRO-2121,31.18,25,10000.0,12,Active,system,2025-11-28
40,2121,Bamboo Cutting Board Set,Kitchen,4,Worldwide Importers,WOR-2121,37.42,1,5000.0,21,Active,system,2026-03-07
41,3011,Alpine Pro Racing Skis - 170cm,Ski,3,Alpine Ski House,ALP-3011,972.91,50,1000.0,10,Active,system,2026-02-25
42,3011,Alpine Pro Racing Skis - 170cm,Ski,4,Worldwide Importers,WOR-3011,1047.55,1,,24,Active,system,2025-11-23
43,3012,Mountain Master All-Terrain Skis - 165cm,Ski,3,Alpine Ski House,ALP-3012,585.91,10,10000.0,12,Active,system,2026-02-07
44,3013,Beginner's Choice Alpine Skis - 160cm,Ski,3,Alpine Ski House,ALP-3013,324.01,50,1000.0,9,Active,system,2026-03-21
45,3021,Nordic Classic XC Skis - 185cm,Ski,3,Alpine Ski House,ALP-3021,233.79,25,5000.0,15,Active,system,2026-03-07
46,3021,Nordic Classic XC Skis - 185cm,Ski,5,Fabrikam,FAB-3021,263.35,50,500.0,15,Active,system,2026-03-24
47,3022,Backcountry Explorer XC Skis - 190cm,Ski,3,Alpine Ski House,ALP-3022,345.6,10,1000.0,14,Active,system,2026-02-25
48,3031,Pro Flex Racing Ski Boots,Ski,3,Alpine Ski House,ALP-3031,479.9,25,1000.0,13,Active,system,2025-12-02
49,3032,Comfort Fit Recreational Boots,Ski,3,Alpine Ski House,ALP-3032,309.3,50,10000.0,12,Active,system,2025-11-30
50,3033,Women's Performance Ski Boots,Ski,3,Alpine Ski House,ALP-3033,376.2,1,,11,Active,system,2026-02-26
51,3041,Carbon Fiber Racing Poles - 120cm,Ski,3,Alpine Ski House,ALP-3041,130.35,1,10000.0,10,Active,system,2026-03-30
52,3042,Aluminum All-Mountain Poles - 115cm,Ski,3,Alpine Ski House,ALP-3042,60.04,5,1000.0,15,Active,system,2025-11-14
53,3051,Insulated Ski Jacket - Men's,Ski,3,Alpine Ski House,ALP-3051,205.78,50,10000.0,10,Active,system,2025-11-23
54,3052,Thermal Base Layer Set - Women's,Ski,3,Alpine Ski House,ALP-3052,105.09,25,5000.0,15,Active,system,2026-02-08
55,3053,Waterproof Ski Pants,Ski,3,Alpine Ski House,ALP-3053,192.99,5,10000.0,12,Active,system,2026-01-10
56,3061,Professional Ski Helmet,Ski,3,Alpine Ski House,ALP-3061,121.49,25,1000.0,11,Active,system,2025-12-14
57,3062,Anti-Fog Ski Goggles,Ski,3,Alpine Ski House,ALP-3062,103.64,25,10000.0,15,Active,system,2025-11-27
58,3062,Anti-Fog Ski Goggles,Ski,5,Fabrikam,FAB-3062,86.65,1,,18,Active,system,2026-03-17
59,3071,Ski Boot Bag - Premium,Ski,3,Alpine Ski House,ALP-3071,42.02,50,10000.0,15,Active,system,2026-01-25
60,3071,Ski Boot Bag - Premium,Ski,4,Worldwide Importers,WOR-3071,50.13,10,,24,Active,system,2025-12-19
61,3072,Hand Warmers - 10 Pack,Ski,3,Alpine Ski House,ALP-3072,11.62,10,1000.0,15,Active,system,2025-11-19
62,3081,All-Temp Ski Wax Kit,Ski,3,Alpine Ski House,ALP-3081,59.28,25,10000.0,13,Active,system,2026-02-18
63,3081,All-Temp Ski Wax Kit,Ski,5,Fabrikam,FAB-3081,65.83,1,2000.0,18,Active,system,2026-03-24
64,3082,Edge Tuning Tool Set,Ski,3,Alpine Ski House,ALP-3082,85.34,25,5000.0,15,Active,system,2026-02-19
65,3091,Freestyle Snowboard - 155cm,Ski,3,Alpine Ski House,ALP-3091,424.1,1,5000.0,15,Active,system,2026-02-19
66,3091,Freestyle Snowboard - 155cm,Ski,4,Worldwide Importers,WOR-3091,449.2,50,2000.0,22,Active,system,2025-11-05
67,3092,All-Mountain Snowboard - 158cm,Ski,3,Alpine Ski House,ALP-3092,498.01,25,10000.0,9,Active,system,2026-01-17
68,3101,Winter Boots - Insulated,Ski,3,Alpine Ski House,ALP-3101,100.16,1,10000.0,14,Active,system,2026-02-02
69,3101,Winter Boots - Insulated,Ski,4,Worldwide Importers,WOR-3101,131.9,10,500.0,21,Active,system,2025-11-30
70,3102,Winter Hiking Boots - Waterproof,Ski,3,Alpine Ski House,ALP-3102,157.94,25,,14,Active,system,2025-11-22
71,3103,Snowboard Bindings - Pro,Ski,3,Alpine Ski House,ALP-3103,233.22,50,,12,Active,system,2025-11-08
72,3104,Ski Tuning Bench - Portable,Ski,3,Alpine Ski House,ALP-3104,125.75,10,5000.0,11,Active,system,2025-12-08
73,3104,Ski Tuning Bench - Portable,Ski,4,Worldwide Importers,WOR-3104,152.16,10,5000.0,21,Active,system,2025-11-12
